productkey  modelname                                          color
482         Racing Socks                                       White
483         Hitch Rack - 4-Bike                                NA
484         Bike Wash                                          NA
485         Fender Set - Mountain                              NA
486         All-Purpose Bike Stand                             NA
487         Hydration Pack                                     Silver
488         Short-Sleeve Classic Jersey                        Yellow
489         Short-Sleeve Classic Jersey                        Yellow
490         Short-Sleeve Classic Jersey                        Yellow
491         Short-Sleeve Classic Jersey                        Yellow
492         HL Touring Frame                                   Yellow
493         LL Touring Frame                                   Yellow
494         HL Touring Frame                                   Yellow
495         HL Touring Frame                                   Yellow
496         HL Touring Frame                                   Yellow
497         HL Touring Frame                                   Blue
498         HL Touring Frame                                   Blue
499         HL Touring Frame                                   Blue
500         HL Touring Frame                                   Blue
501         Rear Derailleur                                    Silver
502         LL Touring Frame                                   Blue
503         LL Touring Frame                                   Blue
504         LL Touring Frame                                   Blue
505         LL Touring Frame                                   Blue
506         LL Touring Frame                                   Yellow
507         LL Touring Frame                                   Yellow
508         LL Touring Frame                                   Yellow
509         LL Touring Frame                                   Yellow
510         LL Touring Frame                                   Blue
511         ML Mountain Frame-W                                Silver
512         ML Mountain Frame-W                                Silver
513         ML Mountain Frame-W                                Silver
514         Rear Brakes                                        Silver
515         LL Mountain Seat/Saddle 2                          NA
516         ML Mountain Seat/Saddle 2                          NA
517         HL Mountain Seat/Saddle 2                          NA
518         LL Road Seat/Saddle 1                              NA
519         ML Road Seat/Saddle 2                              NA
520         HL Road Seat/Saddle 2                              NA
521         LL Touring Seat/Saddle                             NA
522         ML Touring Seat/Saddle                             NA
523         HL Touring Seat/Saddle                             NA
524         LL Mountain Frame                                  Silver
525         LL Mountain Frame                                  Silver
526         LL Mountain Frame                                  Silver
527         LL Mountain Frame                                  Silver
528         Mountain Tire Tube                                 NA
529         Road Tire Tube                                     NA
530         Touring Tire Tube                                  NA
531         LL Mountain Frame                                  Black
532         LL Mountain Frame                                  Black
533         LL Mountain Frame                                  Black
534         LL Mountain Frame                                  Black
535         LL Mountain Tire                                   NA
536         ML Mountain Tire                                   NA
537         HL Mountain Tire                                   NA
538         LL Road Tire                                       NA
539         ML Road Tire                                       NA
540         HL Road Tire                                       NA
541         Touring Tire                                       NA
542         LL Mountain Pedal                                  Silver/Black
543         ML Mountain Pedal                                  Silver/Black
544         HL Mountain Pedal                                  Silver/Black
545         LL Road Pedal                                      Silver/Black
546         ML Road Pedal                                      Silver/Black
547         HL Road Pedal                                      Silver/Black
548         Touring Pedal                                      Silver/Black
549         ML Mountain Frame-W                                Silver
550         LL Mountain Frame                                  Black
551         LL Mountain Frame                                  Silver
552         Front Derailleur                                   Silver
553         LL Touring Handlebars                              NA
554         HL Touring Handlebars                              NA
555         Front Brakes                                       Silver
556         LL Crankset                                        Black
557         ML Crankset                                        Black
558         HL Crankset                                        Black
559         Chain                                              Silver
560         Touring-2000                                       Blue
561         Touring-1000                                       Yellow
562         Touring-1000                                       Yellow
563         Touring-1000                                       Yellow
564         Touring-1000                                       Yellow
565         Touring-3000                                       Blue
566         Touring-3000                                       Blue
567         Touring-3000                                       Blue
568         Touring-3000                                       Yellow
569         Touring-3000                                       Yellow
570         Touring-3000                                       Yellow
571         Touring-3000                                       Yellow
572         Touring-3000                                       Yellow
573         Touring-1000                                       Blue
574         Touring-1000                                       Blue
575         Touring-1000                                       Blue
576         Touring-1000                                       Blue
577         Touring-2000                                       Blue
578         Touring-2000                                       Blue
579         Touring-2000                                       Blue
580         Road-350-W                                         Yellow
581         Road-350-W                                         Yellow
582         Road-350-W                                         Yellow
583         Road-350-W                                         Yellow
584         Road-750                                           Black
585         Touring-3000                                       Blue
586         Touring-3000                                       Blue
587         Mountain-400-W                                     Silver
588         Mountain-400-W                                     Silver
589         Mountain-400-W                                     Silver
590         Mountain-400-W                                     Silver
591         Mountain-500                                       Silver
592         Mountain-500                                       Silver
593         Mountain-500                                       Silver
594         Mountain-500                                       Silver
595         Mountain-500                                       Silver
596         Mountain-500                                       Black
597         Mountain-500                                       Black
598         Mountain-500                                       Black
599         Mountain-500                                       Black
600         Mountain-500                                       Black
601         LL Bottom Bracket                                  NA
602         ML Bottom Bracket                                  NA
603         HL Bottom Bracket                                  NA
604         Road-750                                           Black
605         Road-750                                           Black
606         Road-750                                           Black
